address,lat,lng
500 e 46,41.8349087,-87.61417004242811
6100 s archer ave,41.7945873494539,-87.7702865003906
4200 w irving park,41.953805599999995,-87.73266732147945
1700 w grand,39.38072675,-77.39876025
2200 n st louis,41.9282846,-87.7146618
1500 w 18th st,41.857914,-87.663931
800 s oakley boulevard,41.87120065,-87.68407095
1700 w cornelia,41.94305615,-87.8139178139713
7800 s langley,41.68983745,-87.60565635
1 n clark,41.884899149999995,-87.63047295399495
1500 w hollywood,41.9856807,-87.66757724846106
4800 w race,41.88901575,-87.7658145050457
4300 s talman,41.8119816,-87.6906422
1800 n stockton,41.9141563,-87.6326738424692
4800 w berenice,41.9505593,-87.7644504
1 n central,14.6626582,120.9745296
2600 w eastwood av,41.96578,-87.693881
900 w chicago av,41.8964322,-87.6501167
1200 w wilson,41.9655987,-87.65999322384117
1900 n central park,41.920350150000004,-87.64190697677839
800 s miller,41.897133249999996,-87.62442335495092
7900 s paxton,41.75147655,-87.5717231635318
300 e 29th st,41.84222945,-87.6200362666995
1 w kinzie,41.8874279,-87.67583542615901
5700 s cicero,41.7852246,-87.743308
9200 s clyde,41.72783065,-87.57336017204773
1500 e 67th st,41.77358245,-87.5886248866507
800 w weed,41.897133249999996,-87.62442335495092
6200 s michigan,43.8826778,-85.8042654
3500 w van buren st,41.875503,-87.713127
3000 n milwaukee,41.8961978,-87.6553579
200 s wacker drive,41.87898655,-87.6373554865762
7700 s bennett,41.75503975,-87.57877167595387
1100 n western,-33.71745,18.9963167
3700 w 49th st,41.804381,-87.716903
1900 w ogden av,41.873834,-87.675282
4300 w 21st street,41.85355695,-87.7322990648602
2700 n artesian,41.8241419,-87.6856964
4300 s martin luther king,41.880931000000004,-87.70946529358822
5400 n clark st,41.988054,-87.669707
400 e grand av,41.891932,-87.61753
1500 w 69th st,41.7687836,-87.6617336312182
1800 n hoyne,41.914792,-87.680127
12000 s halsted,41.6757162,-87.64217882362539
7300 n seeley,41.9523171,-87.6799176
1 e pearson st,41.89726585,-87.6278323
1600 n luna,41.9112184,-87.7642824
1 w 35th st,41.8308861,-87.6351659
2600 s harding,41.902425449999996,-87.72476618707574
2000 n sawyer,41.9700766,-87.7101209919946
1 e 9th st,41.870443,-87.627256
3600 n southport av,41.94734435,-87.6642419966994
3517500 e 78th st,41.7536819,-87.5555386
5600 w giddings,41.966941,-87.768225
1600 w highland,41.9969295,-87.8054515
1400 n state parkway,41.9079587,-87.6291738049499
1600 w jackson boulevard,41.877703,-87.666942
1400 w taylor,41.86898915,-87.64856255970184
3900 w diversey,41.9322666,-87.6929858
800 n western ave,41.896779,-87.686978
500 s hoyne,41.8913503,-87.62356470662252
1400 w morse ave,42.007983,-87.666347
1700 w 95th st,41.7215501,-87.6420064
1100 s canal st,41.868932,-87.6400407007218
5000 s aberdeen st,41.80318,-87.652782
3200 w 59th st,41.786307,-87.704736
3000 n meade ave,41.934884,-87.778633
1000 s canal st,41.8536076,-87.6385462
700 e solidarity,41.8665365079952,-87.6113490439903
4400 s berkeley,41.814956050000006,-87.60087446702792
1400 e 53rd st,41.79984035,-87.5912417386589
7900 s calumet,41.7300347,-87.5792134
1500 w 21st st,41.85429,-87.663832
3200 w wrightwood,41.92652125,-87.7815702045256
900 n rush,41.8911753,-87.6251872
7500 s exchange ave,41.758699,-87.560041
4800 w shakespeare,41.9206997,-87.6826218
4400 s talman,41.813668,-87.690806
1500 w berwyn,41.978099,-87.668518
4800 w george st,41.933426,-87.747504
1500 n clybourn,41.9145533,-87.6549993
100 n franklin,41.8964706,-87.6357194
2000 w wabansia,41.9121257,-87.6897142
100 s clark,41.8790513,-87.63024965
900 w wayman,41.887364,-87.6498641
1000 s hermitage av,41.869082,-87.670303
3100 n lamon,41.949747,-87.7497525
200 e garfield,41.7941043125,-87.6312815
3700 n recreation drive,41.9512273,-87.6438467
4000 n sheridan rd,41.9546187,-87.6547349
800 n maplewood,41.9283654,-87.6953339
3700 w lawrence,37.002415,-93.643048
3000 s lyman,41.7040045,-87.7720509
1200 w columbia ave,42.0046,-87.661782
2100 w north ave,41.91070685,-87.6801225791199
2800 w cortez st,41.900579,-87.696988
4700 w adams street,41.878151,-87.742907
1 w polk st,41.872191,-87.629767
1 n state,41.8854984,-87.62726118993479
7500 s coles,42.3328001,-87.8620162
3100 n broadway st,41.9774643,-87.6598909
1700 s prairie,41.8902501,-88.2230944477082
500 w adams st,41.879362,-87.641812
1 w 35th street,41.8308861,-87.6351659
5400 w congress,41.87409585,-87.75957983127489
3200 n dayton,41.7539257,-86.4484358
3500 n clark,39.450008,-87.998665
1100 w leland av,41.967307,-87.657683
5100 s springfield,41.973818699999995,-87.72615042189543
1100 w thorndale,41.990123,-87.658986
1200 n maplewood,36.5894083,-87.2863910475571
4600 n long,52.2120828,7.030185
400 w montrose harbor dr,41.9607495,-87.6359949
1900 w north ave,41.9107094,-87.6751933248185
1 s clark st,41.881857,-87.630765
4400 w monroe,41.8805458,-87.6339601
5900 s artesian,41.876793,-87.6878994
400 e 29th st,41.842156,-87.617039
2700 w 66th st,41.773732,-87.691591
1500 s pulaski,41.9936975,-87.7288814
3600 w 30th,41.8395197,-87.6282555
2500 n burling,41.9274216,-87.64793072852507
4900 n christiana,41.9704177,-87.71248042560707
1 s albany ave,41.88052,-87.702849
7100 s oglesby,41.7316965,-87.5670747
9500 s claremont,41.8680882,-87.6847762
2000 w harrison,41.8567858,-87.67350692649336
3300 n karlov,41.94100105,-87.7299964
2400 n lakeview,41.92586065,-87.6394269
1300 s hyde park boulevar,41.802599349999994,-87.59477218554956
4400 w 31st st,41.836854,-87.734239
8200 s eberhart,41.7474636,-87.6124712
1400 n milwaukee av,41.9072358,-87.6730861894888
1200 n ashland av,41.9036115,-87.6679519
6000 w irving park rd,41.953132,-87.776946
4000 w potomac,41.9047543,-87.7211675
200 e roosevelt,41.8761445,-87.6251612
2900 w cermak road,41.8522133,-87.69969745
1400 w 65th st,41.775982,-87.65943
3000 w wabansia,41.9121257,-87.6897142
1 w monroe,41.880864,-87.6296352
10400 s troy,41.704194599999994,-87.70038468962704
6100 w eddy,41.9464236,-87.6595022
2700 w 16th st,41.859329,-87.693931
2400 w cortland st,41.915838,-87.68806
100 n state,41.8832612,-87.6253411
3700 n drake,41.94847795,-87.71673936867589
5800 s ellis ave,41.789437,-87.601369
4600 s albany ave,41.809853,-87.701694
1400 w walton st,41.8998168,-87.6299957
5200 s woodlawn,41.78468745,-87.60074932651055
900 w wilson av,41.9660465,-87.6521914925818
8000 s oglesby,41.7316965,-87.5670747
1100 n lasalle,41.881644,-87.6320948089129
1200 s halsted st,41.86703,-87.647026
1400 n kostner,41.91257175,-87.7354419739219
900 w roosevelt rd,41.867434,-87.6303126
6600 n barry,42.583499,-85.502637
2700 w farragut,41.9767385,-87.6983405
2100 n stockton,41.9141563,-87.6326738424692
2100 s wentworth av,41.85383525,-87.6321649065756
3500 s francisco,15.1859169,120.582529
3800 n clark,41.6181136,-87.4143406405452
11900 s halsted,41.875474,-87.6496755
500 n franklin st,41.8909126,-87.635804658602
2600 s spaulding,41.84356,-87.70756
2300 w devon,41.99803005,-87.68768304123802
1200 s kedvale,41.86579635,-87.72903008986087
100 w washington street,41.8833785,-87.6326626
6500 s kostner,41.8040967,-87.7332732
2100 w jackson,41.8774934,-87.63175787585004
4000 w maypole,41.8836205,-87.6915136
5100 w st paul ave,41.912357,-87.753526
3300 n halsted st,41.94191595,-87.64960836886
1 w delaware pl,41.899055,-87.628428
600 w harrison,42.06017785,-87.86242280004706
2900 n gresham ave,41.934946,-87.715808
3700 w eddy,41.9464236,-87.6595022
2600 n lincoln,40.7832034,-73.974793
7100 w george st,41.932673,-87.804284
400 w ontario st,41.89336105,-87.6389915082361
200 e 46th st,41.81121,-87.621097
2800 n clark st,41.988054,-87.669707
2000 w 13th st,41.865018,-87.676364
13000 s daniel dr,41.6572406,-87.6165029
1500 s state st,41.8618389,-87.6276150616279
1 e bellevue,41.901485,-87.627725
5400 s hyde park blvd,41.7976181,-87.5843002559451
500 n cicero,41.88969,-87.74573
200 s clark,41.9203614,-87.6330496758443
1600 w beach,42.432683,-87.832934
1300 s wabash av,41.86558815,-87.6262393178906
3400 w 24th st,41.848157,-87.710187
700 n rush st,41.89514495,-87.625751349449
2900 n lakewood,43.382461,-86.219088
1 w grand av,41.8913983,-87.6283923757543
4700 s cottage grove,41.7073446,-87.6065455
3000 w 42nd st,41.8175448,-87.6996969
4400 n racine,41.79483745,-87.6551343595338
2400 w division,41.9030346,-87.6863623
700 w diversey pkwy,41.932595,-87.665939
1 s wells,41.90124575,-87.63554861903087
6900 n glenwood,41.5479021,-87.6217723
2400 n mango,41.924202699999995,-87.77004507600965
4500 n springfield,41.0445265,-81.4373585
1 w 19th st,41.85652,-87.628794
2100 e 69th st,41.769912,-87.573789
2000 s ashland ave,41.8549218,-87.6664152248431
1400 n dearborn parkway,41.907979,-87.63022
6300 s racine,41.8758843,-87.6593253
900 w huron,41.89527985,-87.65046396941982
